Model,Mean Scores,Best Params
GradientBoostingRegressor,0.6297354770310963,"{'gradientboostingregressor__n_estimators': np.int64(800), 'gradientboostingregressor__min_samples_leaf': np.int64(9), 'gradientboostingregressor__max_depth': np.int64(1)}"
GradientBoostingRegressor,0.7164853133288578,"{'gradientboostingregressor__n_estimators': np.int64(500), 'gradientboostingregressor__min_samples_leaf': np.int64(1), 'gradientboostingregressor__max_depth': np.int64(3)}"
GradientBoostingRegressor,0.7144707810761683,"{'gradientboostingregressor__n_estimators': np.int64(100), 'gradientboostingregressor__min_samples_leaf': np.int64(1), 'gradientboostingregressor__max_depth': np.int64(5)}"
RandomForestRegressor,0.6787068763033274,"{'randomforestregressor__n_estimators': np.int64(800), 'randomforestregressor__min_samples_leaf': np.int64(1), 'randomforestregressor__max_depth': np.int64(7)}"
RandomForestRegressor,0.6672115363612965,"{'randomforestregressor__n_estimators': np.int64(200), 'randomforestregressor__min_samples_leaf': np.int64(3), 'randomforestregressor__max_depth': np.int64(5)}"
RandomForestRegressor,0.677639516711845,"{'randomforestregressor__n_estimators': np.int64(100), 'randomforestregressor__min_samples_leaf': np.int64(7), 'randomforestregressor__max_depth': np.int64(7)}"
RandomForestRegressor,0.6067098335082036,"{'randomforestregressor__n_estimators': np.int64(200), 'randomforestregressor__min_samples_leaf': np.int64(1), 'randomforestregressor__max_depth': np.int64(3)}"
RandomForestRegressor,0.6064716671847318,"{'randomforestregressor__n_estimators': np.int64(600), 'randomforestregressor__min_samples_leaf': np.int64(5), 'randomforestregressor__max_depth': np.int64(3)}"
RandomForestRegressor,0.6975682865184168,"{'randomforestregressor__n_estimators': np.int64(800), 'randomforestregressor__min_samples_leaf': np.int64(1), 'randomforestregressor__max_depth': np.int64(9)}"
RandomForestRegressor,0.6957329807020498,"{'randomforestregressor__n_estimators': np.int64(900), 'randomforestregressor__min_samples_leaf': np.int64(3), 'randomforestregressor__max_depth': np.int64(9)}"
RandomForestRegressor,0.6784137313071661,"{'randomforestregressor__n_estimators': np.int64(300), 'randomforestregressor__min_samples_leaf': np.int64(3), 'randomforestregressor__max_depth': np.int64(7)}"
RandomForestRegressor,0.6671481033767703,"{'randomforestregressor__n_estimators': np.int64(600), 'randomforestregressor__min_samples_leaf': np.int64(9), 'randomforestregressor__max_depth': np.int64(5)}"
RandomForestRegressor,0.6908601797811517,"{'randomforestregressor__n_estimators': np.int64(100), 'randomforestregressor__min_samples_leaf': np.int64(9), 'randomforestregressor__max_depth': np.int64(9)}"
