Model,Mean Scores,Best Params
GradientBoostingRegressor,-1.609827766347209,"{'gradientboostingregressor__n_estimators': np.int64(500), 'gradientboostingregressor__min_samples_leaf': np.int64(1), 'gradientboostingregressor__max_depth': np.int64(7)}"
GradientBoostingRegressor,-1.6162420760466163,"{'gradientboostingregressor__n_estimators': np.int64(300), 'gradientboostingregressor__min_samples_leaf': np.int64(9), 'gradientboostingregressor__max_depth': np.int64(7)}"
GradientBoostingRegressor,-2.569062616325901,"{'gradientboostingregressor__n_estimators': np.int64(200), 'gradientboostingregressor__min_samples_leaf': np.int64(1), 'gradientboostingregressor__max_depth': np.int64(1)}"
RandomForestRegressor,-2.1672575206415003,"{'randomforestregressor__n_estimators': np.int64(400), 'randomforestregressor__min_samples_leaf': np.int64(9), 'randomforestregressor__max_depth': np.int64(7)}"
RandomForestRegressor,-2.030294178739664,"{'randomforestregressor__n_estimators': np.int64(600), 'randomforestregressor__min_samples_leaf': np.int64(1), 'randomforestregressor__max_depth': np.int64(9)}"
RandomForestRegressor,-2.6440822356505764,"{'randomforestregressor__n_estimators': np.int64(700), 'randomforestregressor__min_samples_leaf': np.int64(1), 'randomforestregressor__max_depth': np.int64(3)}"
RandomForestRegressor,-2.234278755382117,"{'randomforestregressor__n_estimators': np.int64(200), 'randomforestregressor__min_samples_leaf': np.int64(9), 'randomforestregressor__max_depth': np.int64(5)}"
RandomForestRegressor,-2.0547266521590433,"{'randomforestregressor__n_estimators': np.int64(400), 'randomforestregressor__min_samples_leaf': np.int64(5), 'randomforestregressor__max_depth': np.int64(9)}"
RandomForestRegressor,-2.0425667393922495,"{'randomforestregressor__n_estimators': np.int64(900), 'randomforestregressor__min_samples_leaf': np.int64(3), 'randomforestregressor__max_depth': np.int64(9)}"
RandomForestRegressor,-2.156963941886648,"{'randomforestregressor__n_estimators': np.int64(800), 'randomforestregressor__min_samples_leaf': np.int64(1), 'randomforestregressor__max_depth': np.int64(7)}"
RandomForestRegressor,-4.45091725296877,"{'randomforestregressor__n_estimators': np.int64(300), 'randomforestregressor__min_samples_leaf': np.int64(5), 'randomforestregressor__max_depth': np.int64(1)}"
RandomForestRegressor,-2.234497647741378,"{'randomforestregressor__n_estimators': np.int64(400), 'randomforestregressor__min_samples_leaf': np.int64(5), 'randomforestregressor__max_depth': np.int64(5)}"
RandomForestRegressor,-2.158702683392262,"{'randomforestregressor__n_estimators': np.int64(100), 'randomforestregressor__min_samples_leaf': np.int64(3), 'randomforestregressor__max_depth': np.int64(7)}"
